ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
212;293518;81;The Thing (1982);109;Horror, Mystery, Sci-Fi;"Kurt Russell; Wilford Brimley; Keith David"
213;289707;81;Hotel Rwanda (2004);121;Biography, Drama, History;"Don Cheadle; Sophie Okonedo; Joaquin Phoenix"
214;282761;81;Hacksaw Ridge (2016);139;Biography, Drama, History;"Andrew Garfield; Sam Worthington; Luke Bracey"
215;478844;81;Into the Wild (2007);148;Adventure, Biography, Drama;"Emile Hirsch; Vince Vaughn; Catherine Keener"
216;257892;81;The Deer Hunter (1978);183;Drama, War;"Robert De Niro; Christopher Walken; John Cazale"
217;303523;81;Stand by Me (1986);89;Adventure, Comedy, Drama;"Wil Wheaton; River Phoenix; Corey Feldman"
218;31328;81;La passion de Jeanne d'Arc (1928);;;
219;30901;80;Le notti di Cabiria (1957);;;
220;80814;80;Touch of Evil (1958);95;Crime, Drama, Film-Noir;"Charlton Heston; Orson Welles; Janet Leigh"
221;27816;80;Paper Moon (1973);102;Comedy, Crime, Drama;"Ryan O'Neal; Tatum O'Neal; Madeline Kahn"
222;49317;80;Ah-ga-ssi (2016);;;
223;47931;80;Les diaboliques (1955);;Talk-Show;"Keith Chawgo; Will Millar; Vickie Rae"
224;70651;80;The Grapes of Wrath (1940);129;Drama;"Henry Fonda; Jane Darwell; John Carradine"
225;59559;80;Paris, Texas (1984);145;Drama;"Harry Dean Stanton; Nastassja Kinski; Dean Stockwell"
226;56321;80;Munna Bhai M.B.B.S. (2003);156;Comedy, Drama;"Sanjay Dutt; Arshad Warsi; Gracy Singh"
227;45211;80;The Best Years of Our Lives (1946);170;Drama, Romance, War;"Myrna Loy; Dana Andrews; Fredric March"
228;897059;80;Pirates of the Caribbean: The Curse of the Black Pearl (2003);143;Action, Adventure, Fantasy;"Johnny Depp; Geoffrey Rush; Orlando Bloom"
229;506089;80;Twelve Monkeys (1995);;;
